model,accuracy,macro_f1
NaiveBayes,0.9407063829787234,0.9465922144368695
LinearSVM,0.969668085106383,0.9703267312927416
CharCNN,0.9389872340425532,0.9400173858484681
CharCNN,0.9389872340425532,0.9400173858484681
CharCNN_ngram,0.9053617021276595,0.9074744506535085
NaiveBayes_LanDet,0.942936170212766,0.9470003750259623
LinearSVM_LanDet,0.9657106382978723,0.9664179252425049
CNN_LanDet, 0.933004255319149,0.9326370348227665
LinearSVM_improved,0.9727,0.9733
